Frame,Width,Height,Time_ms
0,1920,1080,20.522
1,1920,1080,11.516
2,1920,1080,10.207
3,1920,1080,10.415
4,1920,1080,9.997
5,1920,1080,10.253
6,1920,1080,10.397
7,1920,1080,10.673
8,1920,1080,10.573
9,1920,1080,10.446
10,1920,1080,10.771
11,1920,1080,10.261
12,1920,1080,10.505
13,1920,1080,10.767
14,1920,1080,10.597
15,1920,1080,10.609
16,1920,1080,10.344
17,1920,1080,11.312
18,1920,1080,11.682
19,1920,1080,11.666
20,1920,1080,11.448
21,1920,1080,11.714
22,1920,1080,10.182
23,1920,1080,10.621
24,1920,1080,10.526
25,1920,1080,10.095
26,1920,1080,10.855
27,1920,1080,11.951
28,1920,1080,10.452
29,1920,1080,11.117
30,1920,1080,10.334
31,1920,1080,11.43
32,1920,1080,11.418
33,1920,1080,11.594
34,1920,1080,10.916
35,1920,1080,10.528
36,1920,1080,10.061
37,1920,1080,9.621
38,1920,1080,10.351
39,1920,1080,10.269
40,1920,1080,10.465
41,1920,1080,10.575
42,1920,1080,10.531
43,1920,1080,10.836
44,1920,1080,10.72
45,1920,1080,10.693
46,1920,1080,11.275
47,1920,1080,10.233
48,1920,1080,10.635
49,1920,1080,10.568
50,1920,1080,10.519
51,1920,1080,10.858
52,1920,1080,10.886
53,1920,1080,10.352
54,1920,1080,10.498
55,1920,1080,10.187
56,1920,1080,10.46
57,1920,1080,10.489
58,1920,1080,10.48
59,1920,1080,11.537
60,1920,1080,10.677
61,1920,1080,10.362
62,1920,1080,9.849
63,1920,1080,10.915
64,1920,1080,10.24
65,1920,1080,9.19
66,1920,1080,10.661
67,1920,1080,10.784
68,1920,1080,10.152
69,1920,1080,10.408
70,1920,1080,10.005
71,1920,1080,10.826
72,1920,1080,10.921
73,1920,1080,10.782
74,1920,1080,10.331
75,1920,1080,9.189
76,1920,1080,10.789
77,1920,1080,10.474
78,1920,1080,9.765
79,1920,1080,10.299
80,1920,1080,10.561
81,1920,1080,10.773
82,1920,1080,10.426
83,1920,1080,10.7
84,1920,1080,9.991
85,1920,1080,10.18
86,1920,1080,10.33
87,1920,1080,9.832
88,1920,1080,10.886
89,1920,1080,9.401
90,1920,1080,10.366
91,1920,1080,10.392
92,1920,1080,9.928
93,1920,1080,9.94
94,1920,1080,7.999
95,1920,1080,10.91
96,1920,1080,12.37
97,1920,1080,11.538
98,1920,1080,10.462
99,1920,1080,11.122
100,1920,1080,10.648
101,1920,1080,11.042
102,1920,1080,11.02
103,1920,1080,11.023
104,1920,1080,10.86
105,1920,1080,10.403
106,1920,1080,10.294
107,1920,1080,10.152
108,1920,1080,10.275
109,1920,1080,10.505
110,1920,1080,10.92
111,1920,1080,10.375
112,1920,1080,11.595
113,1920,1080,10.611
114,1920,1080,9.662
115,1920,1080,9.951
116,1920,1080,9.879
117,1920,1080,10.876
118,1920,1080,9.971
119,1920,1080,10.224
120,1920,1080,10.279
121,1920,1080,11.025
122,1920,1080,10.467
123,1920,1080,10.521
124,1920,1080,10.216
125,1920,1080,10.403
126,1920,1080,9.839
127,1920,1080,9.736
128,1920,1080,10.66
129,1920,1080,10.926
130,1920,1080,11.217
131,1920,1080,11.539
132,1920,1080,10.743
133,1920,1080,10.784
134,1920,1080,10.944
135,1920,1080,10.849
136,1920,1080,10.721
137,1920,1080,11.271
138,1920,1080,10.968
139,1920,1080,10.836
140,1920,1080,10.888
141,1920,1080,11.262
142,1920,1080,10.95
143,1920,1080,11.035
144,1920,1080,11.259
145,1920,1080,10.744
146,1920,1080,10.782
147,1920,1080,10.41
148,1920,1080,11.487
149,1920,1080,11.073
150,1920,1080,10.328
151,1920,1080,10.315
152,1920,1080,10.428
153,1920,1080,10.834
154,1920,1080,11.321
155,1920,1080,10.846
156,1920,1080,10.252
157,1920,1080,10.294
158,1920,1080,11.505
159,1920,1080,10.853
160,1920,1080,11.078
161,1920,1080,10.456
162,1920,1080,10.513
163,1920,1080,11.111
164,1920,1080,10.761
165,1920,1080,10.198
166,1920,1080,10.77
167,1920,1080,10.617
168,1920,1080,11.326
169,1920,1080,10.609
170,1920,1080,10.29
171,1920,1080,10.38
172,1920,1080,12.33
173,1920,1080,12.693
174,1920,1080,11.581
175,1920,1080,11.344
176,1920,1080,10.661
177,1920,1080,10.42
178,1920,1080,10.636
179,1920,1080,11.149
180,1920,1080,10.934
181,1920,1080,10.679
182,1920,1080,10.903
183,1920,1080,10.715
184,1920,1080,11.043
185,1920,1080,10.974
186,1920,1080,10.144
187,1920,1080,10.451
188,1920,1080,9.942
189,1920,1080,10.923
190,1920,1080,10.195
191,1920,1080,9.086
192,1920,1080,10.451
193,1920,1080,10.089
194,1920,1080,11.043
195,1920,1080,10.192
196,1920,1080,10.537
197,1920,1080,9.965
198,1920,1080,10.712
199,1920,1080,10.31
200,1920,1080,9.705
201,1920,1080,10.501
202,1920,1080,11.156
203,1920,1080,11.333
204,1920,1080,10.398
205,1920,1080,9.482
206,1920,1080,10.68
207,1920,1080,10.809
208,1920,1080,10.029
209,1920,1080,10.27
210,1920,1080,9.586
211,1920,1080,10.195
212,1920,1080,10.423
213,1920,1080,10.02
214,1920,1080,9.486
215,1920,1080,10.462
216,1920,1080,10.33
217,1920,1080,11.771
218,1920,1080,10.389
219,1920,1080,10.034
220,1920,1080,10.654
221,1920,1080,11.307
222,1920,1080,9.784
223,1920,1080,10.11
224,1920,1080,10.639
225,1920,1080,9.02
226,1920,1080,10.193
227,1920,1080,9.597
228,1920,1080,10.246
229,1920,1080,10.594
230,1920,1080,9.727
231,1920,1080,9.657
232,1920,1080,10.559
233,1920,1080,10.413
234,1920,1080,9.986
235,1920,1080,10.856
236,1920,1080,9.5
237,1920,1080,9.944
238,1920,1080,10.282
239,1920,1080,10.483
240,1920,1080,10.475
241,1920,1080,10.75
242,1920,1080,10.048
243,1920,1080,10.848
244,1920,1080,9.798
245,1920,1080,10.644
246,1920,1080,11.165
247,1920,1080,10.078
248,1920,1080,10.928
249,1920,1080,10.4
250,1920,1080,11.893
251,1920,1080,12.438
252,1920,1080,10.376
253,1920,1080,10.921
254,1920,1080,11.003
255,1920,1080,10.425
256,1920,1080,10.17
257,1920,1080,10.739
258,1920,1080,11.228
259,1920,1080,10.853
260,1920,1080,10.134
261,1920,1080,10.026
262,1920,1080,10.16
263,1920,1080,10.608
264,1920,1080,9.684
265,1920,1080,10.192
266,1920,1080,10.228
267,1920,1080,9.86
268,1920,1080,9.523
269,1920,1080,9.566
270,1920,1080,11.057
271,1920,1080,9.772
272,1920,1080,9.976
273,1920,1080,10.325
274,1920,1080,11.42
275,1920,1080,10.039
276,1920,1080,10.291
277,1920,1080,9.201
278,1920,1080,10.683
279,1920,1080,10.747
280,1920,1080,10.397
281,1920,1080,11.085
282,1920,1080,9.891
283,1920,1080,11.228
284,1920,1080,10.249
285,1920,1080,10.068
286,1920,1080,10.212
287,1920,1080,11.493
288,1920,1080,10.246
289,1920,1080,10.104
290,1920,1080,9.722
291,1920,1080,10.697
292,1920,1080,10.449
293,1920,1080,10.577
294,1920,1080,10.581
295,1920,1080,10.618
296,1920,1080,10.616
297,1920,1080,10.907
298,1920,1080,9.487
299,1920,1080,10.488
300,1920,1080,10.349
301,1920,1080,10.353
302,1920,1080,10.817
303,1920,1080,10.649
304,1920,1080,10.849
305,1920,1080,10.28
306,1920,1080,10.249
307,1920,1080,9.928
308,1920,1080,10.731
309,1920,1080,9.928
310,1920,1080,10.003
311,1920,1080,10.099
